Membership No  Date Joined  Active  
    66932      2019-12-6    yes   
    89401      2015-9-14    yes   
    45220      2016-11-17   yes   
    44619      2016-4-14    yes   
    15263      2015-6-21    yes   
    93927      2017-4-16    yes   
    23866      2020-5-6     yes   
    90076      2018-10-23   yes   
    76359      2018-10-6    yes   
    87316      2017-6-25    yes   
    52693      2017-5-18    yes   
    96645      2017-2-25    yes   
    82741      2020-7-11    yes   
    67114      2020-11-16   yes   
    98516      2019-10-24   yes   
